count,failed_count,finite_count,max,mean,metric,min,non_finite_count,operator,p50,p95,p99,pass_rate,pass_rate_all,pass_rate_applicable,passed_count,std,threshold
50,,50,14.0,13.34,indicator_pass_count,13.0,0,,13.0,14.0,14.0,,,,,0.4737087712930804,
50,,50,14.0,14.0,indicator_total_count,14.0,0,,14.0,14.0,14.0,,,,,0.0,
50,,50,14.0,14.0,applicable_indicator_count,14.0,0,,14.0,14.0,14.0,,,,,0.0,
50,,50,0.0,0.0,not_applicable_indicator_count,0.0,0,,0.0,0.0,0.0,,,,,0.0,
50,,50,1.0,1.0,stochastic_enabled,1.0,0,,1.0,1.0,1.0,,,,,0.0,
50,,50,1.0,0.04,stochastic_failed_link_count,0.0,0,,0.0,0.0,1.0,,,,,0.19595917942265426,
50,0,50,0.0,0.0,subnet_paralysis_probability,0.0,0,<=,0.0,0.0,0.0,1.0,1.0,1.0,50,0.0,0.01
50,0,50,35.0,35.0,route_convergence_time_ms,35.0,0,<=,35.0,35.0,35.0,1.0,1.0,1.0,50,0.0,50.0
50,0,50,35.0,33.545117622481214,relay_handover_delay_disturbance_ms,4.354826332150363,0,<=,35.0,35.0,35.0,1.0,1.0,1.0,50,5.617066893843252,50.0
50,32,50,1.5154282166900401e-05,1.111710169811868e-05,control_command_loss_rate,6.591077890432118e-06,0,<=,1.1057659750819405e-05,1.4975242711650958e-05,1.51167323623576e-05,0.36,0.36,0.36,18,2.536790589028477e-06,1e-05
50,0,50,0.9999628445314447,0.999937330415919,video_return_success_rate,0.9999145720702124,0,>=,0.9999376654843748,0.9999579696492455,0.9999611717847521,1.0,1.0,1.0,50,1.430038309012563e-05,0.999
50,0,50,0.45499999999999996,0.45499999999999996,science_data_interruption_s,0.45499999999999996,0,<=,0.45499999999999996,0.45499999999999996,0.45499999999999996,1.0,1.0,1.0,50,0.0,1.0
50,0,50,1.0,1.0,resource_contention_resolution_rate,1.0,0,>=,1.0,1.0,1.0,1.0,1.0,1.0,50,0.0,0.95
50,0,50,1.0,1.0,cascading_fault_prediction_accuracy,1.0,0,>=,1.0,1.0,1.0,1.0,1.0,1.0,50,0.0,0.9
50,0,50,1.4848667435828018,1.4848667435828018,fault_propagation_delay_error_pct,1.4848667435828018,0,<=,1.4848667435828018,1.4848667435828018,1.4848667435828018,1.0,1.0,1.0,50,0.0,15.0
50,0,50,3.9060287178272883,3.9060287178272883,rf_lifetime_prediction_error_pct,3.9060287178272883,0,<=,3.9060287178272883,3.9060287178272883,3.9060287178272883,1.0,1.0,1.0,50,0.0,10.0
50,1,50,5.14515484562021,3.3304862148836603,dust_gain_loss_quantification_error_pct,3.0153655878514254,0,<=,3.3038724417708156,3.52247156241254,4.374184453681318,0.98,0.98,0.98,49,0.29254523800649734,5.0
50,,50,2.8578865854724227,1.4481173432243222,predicted_gain_loss_db,0.06587815479254662,0,,1.377828442941029,2.787731648562912,2.8431275433334497,,,,,0.8363729338194164,
50,,50,2.947845020710588,1.4967673515289321,reference_gain_loss_db,0.06945154428888421,0,,1.4227190936416618,2.877775446161256,2.9331493811210723,,,,,0.8635110037618969,
