applicable_indicator_count,cascading_fault_prediction_accuracy,control_command_loss_rate,dust_gain_loss_quantification_error_pct,experiment_type,fault_propagation_delay_error_pct,indicator_pass_count,indicator_total_count,mutation_parameters,not_applicable_indicator_count,predicted_gain_loss_db,reference_gain_loss_db,relay_handover_delay_disturbance_ms,resource_contention_resolution_rate,rf_lifetime_prediction_error_pct,route_convergence_time_ms,run_id,science_data_interruption_s,stochastic_enabled,stochastic_failed_link_count,stochastic_failed_links,subnet_paralysis_probability,video_return_success_rate
14,1.0,1.0901033101822222e-05,3.246501665480892,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.9967638366537719, ""buffer_overflow_severity"": 0.17184579535487188, ""dust_level"": 0.46064044149576394, ""main_hub_failure_severity"": 0.7797799712409907, ""relay_handover_extra_delay_ms"": 172.0001175298551}",0,1.3263943357332528,1.370900648106106,35.0,1.0,3.9060287178272883,35.0,0,0.45499999999999996,True,0,,0.0,0.9999385484193747
14,1.0,1.1567543855823814e-05,3.232773122902731,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.9981306427698724, ""buffer_overflow_severity"": 0.5299429964758945, ""dust_level"": 0.527868761844825, ""main_hub_failure_severity"": 0.9420288307422854, ""relay_handover_extra_delay_ms"": 47.9868158735854}",0,1.5475138708443614,1.5992127921675772,35.0,1.0,3.9060287178272883,35.0,1,0.45499999999999996,True,0,,0.0,0.9999347911688967
14,1.0,1.5077649912731416e-05,3.0874687589379843,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.9953833220706293, ""buffer_overflow_severity"": 0.6635951307672348, ""dust_level"": 0.8819211132751276, ""main_hub_failure_severity"": 0.8025561653025772, ""relay_handover_extra_delay_ms"": 185.86345964168913}",0,2.8277660913112537,2.917853919507495,35.0,1.0,3.9060287178272883,35.0,2,0.45499999999999996,True,1,lander_main_hub->relay_backup_1,0.0,0.9999150040594915
14,1.0,1.2615557435102786e-05,3.3485164976722652,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.998820611454892, ""buffer_overflow_severity"": 0.1173175110925435, ""dust_level"": 0.633577987140222, ""main_hub_failure_severity"": 0.8643619495274282, ""relay_handover_extra_delay_ms"": 115.48467175513312}",0,1.9093864306196362,1.9755376342191902,35.0,1.0,3.9060287178272883,35.0,3,0.45499999999999996,True,0,,0.0,0.9999288833178138
14,1.0,1.30275291538684e-05,3.159154977284367,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.9967849731178137, ""buffer_overflow_severity"": 0.44372149764525803, ""dust_level"": 0.6751321113115494, ""main_hub_failure_severity"": 0.7791119859096469, ""relay_handover_extra_delay_ms"": 120.03304939781643}",0,2.056386598081544,2.123470316269116,35.0,1.0,3.9060287178272883,35.0,4,0.45499999999999996,True,0,,0.0,0.9999265609568191
14,1.0,7.485185356230772e-06,3.3341052899338712,monte_carlo,1.4848667435828018,14,14,"{""backup_link_availability"": 0.9952348867782358, ""buffer_overflow_severity"": 0.5932638478744893, ""dust_level"": 0.11609896672009656, ""main_hub_failure_severity"": 0.7563440344771672, ""relay_handover_extra_delay_ms"": 9.777541403063017}",0,0.30326127484509946,0.3137210654850742,9.777541403063017,1.0,3.9060287178272883,35.0,5,0.45499999999999996,True,0,,0.0,0.9999578042538181
14,1.0,1.0410047399860289e-05,3.3488257383879887,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.9974466877904079, ""buffer_overflow_severity"": 0.7506252830604868, ""dust_level"": 0.4111167111014787, ""main_hub_failure_severity"": 0.971480302739913, ""relay_handover_extra_delay_ms"": 93.88120727915063}",0,1.1679934987119212,1.20846281241285,35.0,1.0,3.9060287178272883,35.0,6,0.45499999999999996,True,0,,0.0,0.9999413162026063
14,1.0,1.4225873565063551e-05,3.2997723486343147,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.9966339109832564, ""buffer_overflow_severity"": 0.30606190102017966, ""dust_level"": 0.7960050863158199, ""main_hub_failure_severity"": 0.875474903170622, ""relay_handover_extra_delay_ms"": 86.61336630960008}",0,2.4992171273024466,2.5844997349053815,35.0,1.0,3.9060287178272883,35.0,7,0.45499999999999996,True,0,,0.0,0.9999198056723181
14,1.0,8.65506718041864e-06,3.467750726858216,monte_carlo,1.4848667435828018,14,14,"{""backup_link_availability"": 0.999068303470307, ""buffer_overflow_severity"": 0.45788674679914376, ""dust_level"": 0.23409946578281468, ""main_hub_failure_severity"": 0.8723793818800447, ""relay_handover_extra_delay_ms"": 97.11382756629006}",0,0.6329256391709828,0.6556623759797566,35.0,1.0,3.9060287178272883,35.0,8,0.45499999999999996,True,0,,0.0,0.999951209382882
14,1.0,1.2484907673693257e-05,3.3856152414113647,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.9945410569452605, ""buffer_overflow_severity"": 0.460621332982047, ""dust_level"": 0.620399818158646, ""main_hub_failure_severity"": 0.9792029239458987, ""relay_handover_extra_delay_ms"": 157.01680624815762}",0,1.8633275864682193,1.9286233526447798,35.0,1.0,3.9060287178272883,35.0,9,0.45499999999999996,True,0,,0.0,0.9999296198149449
