count,failed_count,finite_count,max,mean,metric,min,non_finite_count,operator,p50,p95,p99,pass_rate,pass_rate_all,pass_rate_applicable,passed_count,std,threshold
5,,5,14.0,9.4,indicator_pass_count,5.0,0,,9.0,13.399999999999999,13.879999999999999,,,,,3.006659275674582,
5,,5,14.0,14.0,indicator_total_count,14.0,0,,14.0,14.0,14.0,,,,,0.0,
5,,5,14.0,12.4,applicable_indicator_count,11.0,0,,12.0,13.8,13.96,,,,,1.019803902718557,
5,,5,3.0,1.6,not_applicable_indicator_count,0.0,0,,2.0,2.8,2.96,,,,,1.019803902718557,
5,1,5,1.0,0.2,subnet_paralysis_probability,0.0,0,<=,0.0,0.7999999999999998,0.96,0.8,0.8,0.8,4,0.4,0.01
5,1,4,35.0,35.0,route_convergence_time_ms,35.0,1,<=,35.0,35.0,35.0,0.8,0.8,0.8,4,0.0,50.0
5,4,5,120.0,103.0,relay_handover_delay_disturbance_ms,35.0,0,<=,120.0,120.0,120.0,0.2,0.2,0.2,1,34.0,50.0
5,2,5,1.0,0.20001405258111601,control_command_loss_rate,9.804126360011267e-06,0,<=,9.804126360011267e-06,0.8000081701052998,0.96000163402106,0.6,0.6,0.6,3,0.39999297389017247,1e-05
5,3,5,0.9999447319008038,0.5090627726040455,video_return_success_rate,0.0,0,>=,0.2727121996093101,0.9999447319008038,0.9999447319008038,0.4,0.4,0.4,2,0.41298868969676306,0.999
5,4,5,120.0,47.000090909090915,science_data_interruption_s,0.45499999999999996,0,<=,38.18181818181819,103.63636363636361,116.72727272727272,0.2,0.2,0.2,1,39.31594591687758,1.0
5,4,5,1.0,0.2,resource_contention_resolution_rate,0.0,0,>=,0.0,0.7999999999999998,0.96,0.2,0.2,0.2,1,0.4,0.95
5,0,5,1.0,1.0,cascading_fault_prediction_accuracy,1.0,0,>=,1.0,1.0,1.0,1.0,1.0,1.0,5,0.0,0.9
5,0,5,1.4848667435828018,1.4848667435828018,fault_propagation_delay_error_pct,1.4848667435828018,0,<=,1.4848667435828018,1.4848667435828018,1.4848667435828018,1.0,1.0,1.0,5,0.0,15.0
5,0,5,3.9060287178272883,3.9060287178272883,rf_lifetime_prediction_error_pct,3.9060287178272883,0,<=,3.9060287178272883,3.9060287178272883,3.9060287178272883,1.0,1.0,1.0,5,0.0,10.0
5,0,5,3.0000000000000044,3.0000000000000044,dust_gain_loss_quantification_error_pct,3.0000000000000044,0,<=,3.0000000000000044,3.0000000000000044,3.0000000000000044,1.0,1.0,1.0,5,0.0,5.0
5,,5,0.97776,0.97776,predicted_gain_loss_db,0.97776,0,,0.97776,0.97776,0.97776,,,,,0.0,
5,,5,1.008,1.008,reference_gain_loss_db,1.008,0,,1.008,1.008,1.008,,,,,0.0,
